subject_id,session,hemi,roi,contrast_cat,volume,n_searchmask
sub-008,01,l,house_PPA,object,4711.0,12795
sub-008,01,l,house_PPA,word,2469.0,12795
sub-008,01,l,house_TOS,face,3134.0,33456
sub-008,01,l,house_TOS,house,1168.0,33456
sub-008,01,l,house_TOS,object,6723.0,33456
sub-008,01,l,house_TOS,word,560.0,33456
sub-008,01,l,object_pF,face,1381.0,3546
sub-008,01,l,object_pF,house,20.0,3546
sub-008,01,l,object_pF,object,2017.0,3546
sub-008,01,l,object_pF,word,8.0,3546
sub-008,01,l,object_LOC,face,3134.0,33456
sub-008,01,l,object_LOC,house,1168.0,33456
sub-008,01,l,object_LOC,object,6723.0,33456
sub-008,01,l,object_LOC,word,560.0,33456
sub-008,01,l,word_VWFA,face,2145.0,7809
sub-008,01,l,word_VWFA,house,63.0,7809
sub-008,01,l,word_VWFA,object,3199.0,7809
sub-008,01,l,word_VWFA,word,9.0,7809
sub-008,01,l,word_STG,face,636.0,5764
sub-008,01,l,word_STG,house,268.0,5764
sub-008,01,l,word_STG,object,1073.0,5764
sub-008,01,l,word_STG,word,93.0,5764
sub-008,01,l,word_pSTG_liu,face,532.0,4590
sub-008,01,l,word_pSTG_liu,house,260.0,4590
sub-008,01,l,word_pSTG_liu,object,851.0,4590
sub-008,01,l,word_pSTG_liu,word,93.0,4590
sub-008,01,l,word_IFG,face,320.0,6591
sub-008,01,l,word_IFG,house,135.0,6591
sub-008,01,l,word_IFG,object,525.0,6591
sub-008,01,l,word_IFG,word,0.0,6591
sub-008,01,l,evc,face,1849.0,6569
sub-008,01,l,evc,house,1835.0,6569
sub-008,01,l,evc,object,815.0,6569
sub-008,01,l,evc,word,398.0,6569
sub-008,02,l,face_FFA,face,442.0,7809
sub-008,02,l,face_FFA,house,205.0,7809
sub-008,02,l,face_FFA,object,53.0,7809
sub-008,02,l,face_FFA,word,23.0,7809
sub-008,02,l,face_STS,face,1164.0,8811
sub-008,02,l,face_STS,house,272.0,8811
sub-008,02,l,face_STS,object,71.0,8811
sub-008,02,l,face_STS,word,7.0,8811
sub-008,02,l,house_PPA,face,859.0,12795
sub-008,02,l,house_PPA,house,256.0,12795
sub-008,02,l,house_PPA,object,94.0,12795
sub-008,02,l,house_PPA,word,7.0,12795
sub-008,02,l,house_TOS,face,6078.0,33456
sub-008,02,l,house_TOS,house,1874.0,33456
sub-008,02,l,house_TOS,object,166.0,33456
sub-008,02,l,house_TOS,word,183.0,33456
sub-008,02,l,object_pF,face,401.0,3546
sub-008,02,l,object_pF,house,167.0,3546
sub-008,02,l,object_pF,object,17.0,3546
sub-008,02,l,object_pF,word,0.0,3546
sub-008,02,l,object_LOC,face,6078.0,33456
sub-008,02,l,object_LOC,house,1874.0,33456
sub-008,02,l,object_LOC,object,166.0,33456
sub-008,02,l,object_LOC,word,183.0,33456
sub-008,02,l,word_VWFA,face,442.0,7809
sub-008,02,l,word_VWFA,house,205.0,7809
sub-008,02,l,word_VWFA,object,53.0,7809
sub-008,02,l,word_VWFA,word,23.0,7809
sub-008,02,l,word_STG,face,273.0,5764
sub-008,02,l,word_STG,house,84.0,5764
sub-008,02,l,word_STG,object,62.0,5764
sub-008,02,l,word_STG,word,0.0,5764
sub-008,02,l,word_pSTG_liu,face,238.0,4590
sub-008,02,l,word_pSTG_liu,house,66.0,4590
sub-008,02,l,word_pSTG_liu,object,62.0,4590
sub-008,02,l,word_pSTG_liu,word,0.0,4590
sub-008,02,l,word_IFG,face,2473.0,6591
sub-008,02,l,word_IFG,house,957.0,6591
sub-008,02,l,word_IFG,object,15.0,6591
sub-008,02,l,word_IFG,word,3.0,6591
sub-008,02,l,evc,face,101.0,6569
sub-008,02,l,evc,house,149.0,6569
