stage,measure,comparison,comparison_name,role,paired,spec,roi,pair,model,factor,beta,chi2,df,p,q_fdr,cohen_d,diff,n_a,n_b,converged,age_cap,roi_set,drop_word,age_beta,age_p,surg_beta,surg_p,group_var,n_obs,warn,formula,higher_group
grid,geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,binC  word+face+house | object,,,,,-0.0694089750289377,,,0.476952304769523,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,cont  |LI| z>1.96,,,,,-0.0758663844821347,,,0.8873112688731127,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,cont  |LI| z>2.33,,,,,-0.0929621869275825,,,0.8555144485551445,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,rank  word>face>object=house,,,,,0.001757279322419,,,0.9717028297170284,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,sign  LI toward lost side z>2.33,,,,,0.2115782869374606,,,0.3376662333766623,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,"sign  LI toward lost side, thr-free",,,,,0.1660490653224001,,,0.3418658134186581,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,binA  word+face | house+object,,,,,-0.1761749426005946,,,0.0751924807519248,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,binB  word | face+house+object,,,,,-0.539101890049247,,,0.0007999200079992,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,binC  word+face+house | object,,,,,-0.0829610644709155,,,0.224977502249775,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,cont  |LI| z>1.96,,,,,-1.7546790736712516,,,0.002999700029997,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,cont  |LI| z>2.33,,,,,-1.7030255859801118,,,0.0025997400259974,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,rank  word>face>object=house,,,,,-0.1485752958750739,,,0.0057994200579942,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,sign  LI toward lost side z>2.33,,,,,-1.0272602644405215,,,0.0005999400059994,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,"sign  LI toward lost side, thr-free",,,,,-0.804385626277833,,,0.0005999400059994,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,binA  word+face | house+object,,,,,-0.0046448892151957,,,0.9684031596840316,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,binB  word | face+house+object,,,,,0.0482954168750265,,,0.761023897610239,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,binC  word+face+house | object,,,,,0.1485145292695628,,,0.2786721327867213,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,cont  |LI| z>1.96,,,,,0.099536187250522,,,0.8685131486851315,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,cont  |LI| z>2.33,,,,,0.0857367389268396,,,0.8802119788021198,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,rank  word>face>object=house,,,,,0.0065009397407729,,,0.9107089291070892,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,sign  LI toward lost side z>2.33,,,,,-0.0176371955406431,,,0.9602039796020398,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,"sign  LI toward lost side, thr-free",,,,,-0.0206753205223875,,,0.9408059194080592,,,,12,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,binA  word+face | house+object,,,,,-0.1715300533853982,,,0.0777922207779222,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,binB  word | face+house+object,,,,,-0.587397306924272,,,9.999000099990002e-05,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,binC  word+face+house | object,,,,,-0.2314755937404784,,,0.0124987501249875,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,cont  |LI| z>1.96,,,,,-1.8542152609217877,,,0.0012998700129987,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,cont  |LI| z>2.33,,,,,-1.788762324906909,,,0.0012998700129987,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,rank  word>face>object=house,,,,,-0.1550762356158451,,,0.0031996800319968,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,sign  LI toward lost side z>2.33,,,,,1.009623068899879,,,0.0008999100089991,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,"sign  LI toward lost side, thr-free",,,,,0.7837103057554333,,,0.000999900009999,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,binA  word+face | house+object,,,,,0.0561182435224166,,,0.6497350264973503,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
