measure,comparison,comparison_name,role,paired,roi,pair,diff,cohen_d,p,q_fdr,higher_group,n_a,n_b,age_cap,roi_set
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,face-house,0.33573865201289743,0.9154268814438887,0.008599140085991401,0.05159484051594841,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,face-object,0.03381484268627677,0.07552852893433015,0.8221177882211779,0.822117788221178,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,face-word,0.16477899928402862,0.3702404066748456,0.2696730326967303,0.5431456854314568,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,house-object,0.06495297559705349,0.11638267389037608,0.7292270772922708,0.822117788221178,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,house-word,0.09912891743682772,0.208739380884755,0.5376462353764624,0.8064693530646936,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,object-word,-0.20401416045465148,-0.36645156157584013,0.2715728427157284,0.5431456854314568,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,OMNIBUS (6 pairs),0.30760205502809973,,0.0390960903909609,,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,face-house,-0.19740585534843852,-0.4931151290388924,0.1446855314468553,0.2893710628937106,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,face-object,0.019455953454598385,0.045179681732704875,0.8944105589441056,0.8944105589441055,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,face-word,0.03918186470706586,0.0884499799393815,0.7963203679632037,0.8944105589441055,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,house-object,0.11350942455263091,0.2727276097648468,0.41345865413458655,0.6201879812018798,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,house-word,-0.41784759920685577,-0.9396856808343421,0.007899210078992101,0.04739526047395261,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,object-word,-0.2814928507623208,-0.7083209762969054,0.03949605039496051,0.11848815118488151,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,OMNIBUS (6 pairs),0.5372366582738127,,0.006799320067993201,,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,face-house,0.16332447324253335,0.3794217570498944,0.26017398260173985,0.3902609739026098,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,face-object,-0.08099851253195733,-0.21153211440431444,0.5256474352564744,0.5256474352564744,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,face-word,-0.5782950687039999,-1.4658580455378112,9.999000099990002e-05,0.0005999400059994001,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,house-object,0.19364386492208352,0.4230961876911227,0.20767923207679231,0.3902609739026098,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,house-word,-0.10613761477455363,-0.23424818124117194,0.48665133486651335,0.5256474352564744,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,object-word,-0.34758119843011415,-0.79851789087222,0.019098090190980903,0.05729427057294271,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,OMNIBUS (6 pairs),0.6642780905877588,,0.011498850114988501,,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,face-house,-0.20159669118291362,-0.3938925720191441,0.24197580241975802,0.48395160483951605,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,face-object,0.12232574672276397,0.29672781032846945,0.36996300369963003,0.5549445055494451,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,face-word,-0.03449348548883613,-0.08699146794547194,0.78992100789921,0.7899210078992102,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,house-object,-0.07623418487113442,-0.15594194790668353,0.6376362363763624,0.7651634836516348,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,house-word,-0.6420347662818479,-1.1868489521244654,0.000999900009999,0.0059994000599940004,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,object-word,-0.435273688363834,-0.8877525095905758,0.010998900109989001,0.032996700329967,A,36,12,23.0,primary_strict
geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,object_LOC,OMNIBUS (6 pairs),0.14740355724569124,,0.5525447455254474,,B,12,12,23.0,primary_strict
geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,object_LOC,face-house,0.03260043973853832,0.06420863316336806,0.8812118788121188,0.8812118788121189,B,12,12,23.0,primary_strict
geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,object_LOC,face-object,-0.24906851409020025,-0.5442353872166036,0.19978002199780023,0.8435156484351565,A,12,12,23.0,primary_strict
geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,object_LOC,face-word,-0.05060597847867576,-0.11633927825675193,0.7831216878312168,0.8812118788121189,A,12,12,23.0,primary_strict
geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,object_LOC,house-object,-0.12142383570818915,-0.23676273518220736,0.5698430156984302,0.8812118788121189,A,12,12,23.0,primary_strict
geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,object_LOC,house-word,-0.052505662871587755,-0.11864544755404208,0.7741225877412259,0.8812118788121189,A,12,12,23.0,primary_strict
geometry,3,A = LH-intact pt   B = RH-intact pt,primary,False,object_LOC,object-word,-0.2534641716179755,-0.44889378374038136,0.28117188281171884,0.8435156484351565,A,12,12,23.0,primary_strict
